source_URLs	Discipline	Type	Level	Skill
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	1	Cat's Grace: The vampire can automatically pass checks to keep their balance.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	1	Rapid Reflexes: The vampire suffers no penalty to dodging gunfire without cover.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	2	Fleetness: The vampire can add their Celerity to non-combat Dexterity checks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	3	Blink: The vampire can cross large distances and still take additional actions such as make an attack.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	3	Traversal: The vampire can run up walls or across water with a successful check.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	4	Draught of Elegance: The vampire can bestow their Celerity powers on those that drink her blood.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	4	Unerring Aim: Amalgam Auspex 2. The vampire can prevent their target from dodging or defending against the vampire's ranged attacks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	5	Lightning Strike: The vampire can prevent their target from dodging or defending against the vampire's melee attacks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	5	Split Second: The vampire can supercede the Storyteller's narration and perform an action that only requires a few seconds like get through a door before it closes, roll out of the way of an explosion etc.
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Flawless Parry: Make perfect defensive motions at the expense of taking no other action
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Precision: Enter a trance where you can operate with exceptionally fine manipulation
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Projectile: Throw objects with the speed of your Celerity
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Tireless Tread: Run at 50 miles per hour for at least eight hours
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Quickness: Expend a blood and gain yet another additional turn. All previous celerity levels are activated
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	6	Momentum: Focus your Celerity into one instant, increasing your strength
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	7	Celerity Refinement: Choose to spend vitae for Celerity as you need them, rather than declaring them beforehand
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	7	Flower of Death: Use your Celerity to gain bonuses to attacking
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	7	Quickness: Expend extra blood points to gain extra actions, at the cost of an unsoakable lethal damage level per action
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	7	Stutter-Step: Use your Celerity to gain bonuses to defense
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	8	Physical Defiance: Move so fast you defy gravity and kill mortals instantly as you pass through them
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	8	The Unseen Storm: Move so fast you are truly invisible
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	8	Time out of Time: React instantly to anything and move before anyone realizes what you have done
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	8	Zephyr: Move so fast that you seem to defy gravity
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	9	Paragon of Motion: Perform most physical acts without fail
https://whitewolf.fandom.com/wiki/Celerity_(VTM)	Celerity	skill	9	Between the Ticks: Expend a blood and a Willpower, you gain an automatic success on all attacks delivered to an opponent with less than advanced Celerity. You have an extra action against those with advanced Celerity. All attacks delivered by those with less than advanced Celerity are considered to be automatic failures. You can declare fair escape at any time
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	Imprint: The Kindred squeezes so hard they leave imprints in solid steel.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	Master of the Forge: The Kindred creates exceptional metalwork tools and weapons.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	Relentless Pursuit: The Kindred makes extraordinary leaps through the air.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	The Fist of Caine: The Kindred makes brawling attacks from a few yards away.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	The Gentle Rebuke: The Kindred telekinetically knocks someone away without harming them.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	6	Crush: The Kindred with a successful attack against an object automatically destroys it.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	7	Earthshock: The Kindred sends shockwaves through the Earth.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	7	Fist of the Titans: The Kindred attacks or throws someone away telekinetically.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	7	Immovable Object: Spend a Willpower point while standing on a solid surface to become absolutely immovable.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	7	The Forger's Hammer: The Kindred creates weapons that do extra damage.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	7	Brutality: The Kindred is able to deal lethal damage with their unarmed strikes.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	8	Aftershock: Delay damage from attacks for up to 24 hours.
https://whitewolf.fandom.com/wiki/Potence	Potence	skill	8	Flick: The Kindred makes a simple motion that sends a target flying away.
